,state,date,53011,53027,53033,53035,53053,53061,53063,53077,total_cnts
396,WA,2020-08-02,1.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,9.0
338,WA,2020-08-03,1.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,10.0
397,WA,2020-08-04,1.0,0.0,4.0,0.0,5.0,0.0,1.0,1.0,13.0
0,WA,2020-08-05,0.0,0.0,1.0,0.0,8.0,1.0,0.0,1.0,13.0
398,WA,2020-08-06,4.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0,15.0
399,WA,2020-08-07,1.0,0.0,4.0,1.0,5.0,1.0,1.0,1.0,15.0
92,WA,2020-08-08,1.0,0.0,1.0,1.0,7.0,0.0,0.0,1.0,14.0
288,WA,2020-08-09,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,7.0
400,WA,2020-08-10,1.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,16.0
93,WA,2020-08-11,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,9.0
94,WA,2020-08-12,0.0,1.0,4.0,0.0,1.0,0.0,1.0,1.0,12.0
401,WA,2020-08-13,1.0,0.0,5.0,0.0,1.0,1.0,1.0,1.0,12.0
402,WA,2020-08-14,1.0,0.0,8.0,1.0,1.0,0.0,0.0,1.0,13.0
403,WA,2020-08-15,1.0,0.0,7.0,0.0,1.0,1.0,1.0,1.0,14.0
404,WA,2020-08-16,1.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,9.0
1,WA,2020-08-17,1.0,0.0,6.0,1.0,4.0,1.0,0.0,0.0,19.0
95,WA,2020-08-18,1.0,0.0,9.0,0.0,1.0,0.0,1.0,0.0,15.0
405,WA,2020-08-19,1.0,0.0,8.0,0.0,4.0,1.0,0.0,1.0,16.0
406,WA,2020-08-20,1.0,0.0,8.0,1.0,1.0,0.0,1.0,4.0,18.0
653,WA,2020-08-21,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0
289,WA,2020-08-22,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0
290,WA,2020-08-23,0.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,9.0
682,WA,2020-08-24,0.0,0.0,8.0,0.0,1.0,1.0,1.0,1.0,15.0
2,WA,2020-08-25,1.0,0.0,5.0,1.0,4.0,0.0,0.0,1.0,17.0
407,WA,2020-08-26,1.0,0.0,5.0,1.0,5.0,0.0,1.0,1.0,14.0
683,WA,2020-08-27,0.0,0.0,8.0,1.0,1.0,1.0,1.0,1.0,15.0
408,WA,2020-08-28,1.0,1.0,4.0,1.0,1.0,0.0,0.0,1.0,12.0
409,WA,2020-08-29,1.0,1.0,1.0,1.0,1.0,0.0,0.0,6.0,12.0
410,WA,2020-08-30,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,8.0
689,WA,2020-08-31,0.0,1.0,5.0,0.0,4.0,0.0,0.0,0.0,13.0
411,WA,2020-09-01,1.0,1.0,5.0,0.0,1.0,0.0,0.0,1.0,15.0
706,WA,2020-09-02,0.0,0.0,8.0,0.0,1.0,1.0,0.0,0.0,12.0
412,WA,2020-09-03,1.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,8.0
291,WA,2020-09-04,1.0,0.0,4.0,0.0,1.0,0.0,1.0,5.0,13.0
96,WA,2020-09-05,0.0,1.0,1.0,0.0,4.0,0.0,0.0,1.0,9.0
413,WA,2020-09-06,1.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0,11.0
339,WA,2020-09-07,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,10.0
414,WA,2020-09-08,1.0,0.0,7.0,1.0,1.0,1.0,1.0,0.0,14.0
415,WA,2020-09-09,1.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,12.0
39,WA,2020-09-10,1.0,1.0,1.0,1.0,4.0,0.0,1.0,1.0,11.0
416,WA,2020-09-11,1.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,11.0
675,WA,2020-09-12,0.0,0.0,1.0,1.0,1.0,0.0,4.0,1.0,10.0
97,WA,2020-09-13,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,7.0
3,WA,2020-09-14,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,8.0
98,WA,2020-09-15,1.0,1.0,1.0,0.0,5.0,1.0,1.0,0.0,13.0
417,WA,2020-09-16,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,8.0
684,WA,2020-09-17,0.0,1.0,1.0,1.0,5.0,1.0,0.0,1.0,13.0
418,WA,2020-09-18,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,7.0
419,WA,2020-09-19,1.0,1.0,5.0,0.0,1.0,0.0,0.0,1.0,10.0
420,WA,2020-09-20,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,10.0
421,WA,2020-09-21,4.0,1.0,5.0,0.0,4.0,0.0,1.0,1.0,16.0
4,WA,2020-09-22,1.0,0.0,4.0,1.0,1.0,1.0,0.0,1.0,13.0
422,WA,2020-09-23,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,10.0
423,WA,2020-09-24,1.0,0.0,9.0,0.0,4.0,0.0,1.0,1.0,18.0
424,WA,2020-09-25,1.0,0.0,5.0,0.0,1.0,1.0,0.0,1.0,10.0
5,WA,2020-09-26,1.0,0.0,5.0,1.0,5.0,0.0,0.0,1.0,16.0
425,WA,2020-09-27,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0
40,WA,2020-09-28,4.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,13.0
426,WA,2020-09-29,1.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,9.0
99,WA,2020-09-30,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,7.0
41,WA,2020-10-01,1.0,0.0,8.0,0.0,6.0,0.0,1.0,0.0,18.0
427,WA,2020-10-02,1.0,0.0,4.0,0.0,1.0,1.0,5.0,0.0,13.0
428,WA,2020-10-03,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,8.0
654,WA,2020-10-04,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,5.0
292,WA,2020-10-05,1.0,0.0,8.0,1.0,1.0,1.0,0.0,0.0,14.0
100,WA,2020-10-06,1.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,9.0
429,WA,2020-10-07,1.0,1.0,5.0,0.0,1.0,1.0,0.0,1.0,11.0
705,WA,2020-10-08,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,6.0
430,WA,2020-10-09,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0
42,WA,2020-10-10,0.0,0.0,8.0,0.0,5.0,0.0,1.0,1.0,18.0
101,WA,2020-10-11,0.0,0.0,5.0,0.0,1.0,1.0,1.0,0.0,10.0
690,WA,2020-10-12,0.0,1.0,7.0,0.0,1.0,0.0,1.0,1.0,14.0
102,WA,2020-10-13,0.0,1.0,5.0,0.0,1.0,1.0,1.0,1.0,13.0
103,WA,2020-10-14,1.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,14.0
431,WA,2020-10-15,1.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,9.0
104,WA,2020-10-16,1.0,0.0,8.0,0.0,1.0,1.0,0.0,1.0,15.0
432,WA,2020-10-17,1.0,0.0,0.0,1.0,8.0,1.0,1.0,1.0,16.0
433,WA,2020-10-18,1.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,8.0
105,WA,2020-10-19,4.0,0.0,4.0,0.0,5.0,1.0,1.0,0.0,17.0
293,WA,2020-10-20,0.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0,11.0
106,WA,2020-10-21,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,9.0
434,WA,2020-10-22,1.0,1.0,7.0,0.0,1.0,1.0,1.0,0.0,13.0
107,WA,2020-10-23,6.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,13.0
108,WA,2020-10-24,0.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,11.0
435,WA,2020-10-25,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,7.0
436,WA,2020-10-26,1.0,0.0,6.0,0.0,4.0,0.0,1.0,1.0,19.0
437,WA,2020-10-27,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,7.0
294,WA,2020-10-28,1.0,1.0,5.0,0.0,9.0,0.0,1.0,1.0,22.0
438,WA,2020-10-29,1.0,1.0,7.0,1.0,4.0,1.0,1.0,5.0,25.0
439,WA,2020-10-30,5.0,1.0,4.0,0.0,7.0,0.0,4.0,1.0,24.0
109,WA,2020-10-31,1.0,0.0,7.0,0.0,1.0,1.0,1.0,1.0,15.0
440,WA,2020-11-01,1.0,0.0,7.0,0.0,5.0,1.0,0.0,0.0,16.0
295,WA,2020-11-02,1.0,1.0,8.0,1.0,7.0,1.0,5.0,1.0,30.0
441,WA,2020-11-03,6.0,0.0,4.0,1.0,7.0,1.0,1.0,1.0,26.0
110,WA,2020-11-04,4.0,1.0,8.0,1.0,10.0,0.0,1.0,0.0,28.0
442,WA,2020-11-05,1.0,0.0,12.0,0.0,10.0,1.0,0.0,1.0,29.0
111,WA,2020-11-06,1.0,0.0,11.0,0.0,6.0,0.0,1.0,1.0,25.0
6,WA,2020-11-07,1.0,1.0,12.0,0.0,5.0,1.0,1.0,1.0,23.0
443,WA,2020-11-08,1.0,0.0,8.0,0.0,6.0,0.0,1.0,1.0,19.0
444,WA,2020-11-09,1.0,1.0,12.0,1.0,6.0,1.0,4.0,1.0,32.0
445,WA,2020-11-10,1.0,0.0,10.0,0.0,9.0,1.0,1.0,1.0,30.0
446,WA,2020-11-11,1.0,0.0,7.0,0.0,1.0,1.0,1.0,5.0,18.0
447,WA,2020-11-12,5.0,1.0,8.0,0.0,9.0,1.0,1.0,1.0,28.0
448,WA,2020-11-13,1.0,0.0,11.0,1.0,14.0,1.0,1.0,0.0,35.0
449,WA,2020-11-14,1.0,0.0,13.0,0.0,10.0,1.0,0.0,1.0,27.0
7,WA,2020-11-15,1.0,1.0,14.0,0.0,11.0,1.0,1.0,4.0,37.0
8,WA,2020-11-16,1.0,1.0,10.0,1.0,11.0,1.0,4.0,1.0,38.0
450,WA,2020-11-17,8.0,1.0,14.0,0.0,10.0,1.0,4.0,1.0,43.0
112,WA,2020-11-18,6.0,1.0,12.0,1.0,9.0,1.0,1.0,1.0,37.0
9,WA,2020-11-19,9.0,0.0,19.0,0.0,11.0,1.0,5.0,6.0,56.0
10,WA,2020-11-20,4.0,0.0,17.0,0.0,11.0,1.0,6.0,5.0,52.0
451,WA,2020-11-21,8.0,0.0,14.0,0.0,4.0,8.0,0.0,1.0,39.0
296,WA,2020-11-22,5.0,0.0,10.0,0.0,8.0,0.0,1.0,6.0,34.0
113,WA,2020-11-23,1.0,0.0,21.0,0.0,11.0,0.0,1.0,1.0,39.0
114,WA,2020-11-24,5.0,1.0,16.0,0.0,14.0,1.0,1.0,1.0,43.0
340,WA,2020-11-25,4.0,0.0,18.0,1.0,12.0,1.0,1.0,1.0,43.0
43,WA,2020-11-26,7.0,0.0,12.0,1.0,6.0,1.0,1.0,1.0,36.0
297,WA,2020-11-27,4.0,1.0,18.0,1.0,10.0,1.0,1.0,1.0,45.0
11,WA,2020-11-28,7.0,1.0,14.0,1.0,12.0,4.0,5.0,4.0,54.0
341,WA,2020-11-29,1.0,0.0,15.0,1.0,1.0,0.0,1.0,4.0,27.0
115,WA,2020-11-30,1.0,1.0,10.0,1.0,10.0,0.0,6.0,1.0,38.0
116,WA,2020-12-01,5.0,0.0,20.0,1.0,4.0,1.0,8.0,1.0,49.0
117,WA,2020-12-02,5.0,0.0,26.0,1.0,7.0,4.0,6.0,1.0,55.0
342,WA,2020-12-03,1.0,1.0,7.0,1.0,9.0,4.0,8.0,4.0,42.0
452,WA,2020-12-04,1.0,1.0,15.0,1.0,6.0,0.0,4.0,4.0,37.0
118,WA,2020-12-05,4.0,0.0,20.0,0.0,7.0,1.0,1.0,1.0,38.0
453,WA,2020-12-06,1.0,1.0,17.0,0.0,8.0,1.0,5.0,4.0,39.0
343,WA,2020-12-07,4.0,0.0,13.0,0.0,7.0,1.0,1.0,10.0,40.0
44,WA,2020-12-08,7.0,1.0,11.0,1.0,10.0,1.0,5.0,8.0,52.0
45,WA,2020-12-09,5.0,1.0,19.0,1.0,8.0,1.0,1.0,1.0,45.0
119,WA,2020-12-10,5.0,1.0,16.0,1.0,11.0,5.0,1.0,8.0,53.0
298,WA,2020-12-11,5.0,1.0,16.0,1.0,10.0,1.0,1.0,5.0,46.0
299,WA,2020-12-12,9.0,1.0,16.0,0.0,7.0,4.0,0.0,1.0,45.0
454,WA,2020-12-13,1.0,1.0,18.0,0.0,9.0,1.0,1.0,1.0,37.0
300,WA,2020-12-14,6.0,0.0,24.0,1.0,15.0,1.0,1.0,7.0,61.0
301,WA,2020-12-15,4.0,1.0,16.0,1.0,9.0,1.0,4.0,1.0,40.0
455,WA,2020-12-16,1.0,0.0,15.0,1.0,14.0,1.0,4.0,1.0,40.0
120,WA,2020-12-17,7.0,1.0,16.0,1.0,14.0,1.0,5.0,5.0,56.0
46,WA,2020-12-18,6.0,1.0,15.0,0.0,14.0,4.0,4.0,6.0,60.0
47,WA,2020-12-19,1.0,0.0,13.0,1.0,12.0,1.0,4.0,12.0,49.0
302,WA,2020-12-20,9.0,0.0,10.0,0.0,13.0,1.0,4.0,8.0,49.0
303,WA,2020-12-21,6.0,7.0,13.0,1.0,8.0,1.0,7.0,11.0,60.0
121,WA,2020-12-22,7.0,1.0,20.0,1.0,1.0,1.0,1.0,7.0,48.0
122,WA,2020-12-23,1.0,4.0,11.0,1.0,13.0,1.0,1.0,8.0,45.0
304,WA,2020-12-24,1.0,4.0,15.0,0.0,7.0,1.0,4.0,7.0,43.0
305,WA,2020-12-25,5.0,0.0,8.0,1.0,8.0,0.0,1.0,11.0,39.0
123,WA,2020-12-26,4.0,4.0,11.0,1.0,9.0,4.0,1.0,10.0,48.0
456,WA,2020-12-27,7.0,1.0,11.0,1.0,9.0,1.0,1.0,7.0,42.0
457,WA,2020-12-28,4.0,1.0,13.0,4.0,10.0,1.0,1.0,7.0,46.0
458,WA,2020-12-29,4.0,6.0,10.0,0.0,8.0,4.0,4.0,9.0,50.0
124,WA,2020-12-30,6.0,1.0,15.0,4.0,13.0,1.0,4.0,8.0,58.0
125,WA,2020-12-31,7.0,7.0,16.0,0.0,12.0,1.0,1.0,6.0,54.0
126,WA,2021-01-01,10.0,1.0,18.0,1.0,17.0,1.0,5.0,13.0,70.0
127,WA,2021-01-02,1.0,1.0,18.0,0.0,8.0,4.0,1.0,1.0,41.0
459,WA,2021-01-03,4.0,5.0,10.0,1.0,10.0,1.0,1.0,6.0,43.0
128,WA,2021-01-04,6.0,1.0,10.0,1.0,12.0,4.0,1.0,4.0,47.0
129,WA,2021-01-05,12.0,1.0,14.0,1.0,11.0,6.0,1.0,9.0,61.0
130,WA,2021-01-06,9.0,1.0,16.0,1.0,10.0,4.0,1.0,6.0,56.0
131,WA,2021-01-07,1.0,1.0,9.0,0.0,7.0,1.0,1.0,4.0,32.0
306,WA,2021-01-08,6.0,1.0,18.0,1.0,7.0,0.0,0.0,1.0,38.0
132,WA,2021-01-09,8.0,1.0,13.0,0.0,12.0,1.0,1.0,4.0,44.0
460,WA,2021-01-10,5.0,1.0,14.0,0.0,10.0,5.0,1.0,1.0,39.0
461,WA,2021-01-11,4.0,1.0,14.0,1.0,14.0,1.0,1.0,4.0,47.0
133,WA,2021-01-12,1.0,1.0,18.0,0.0,7.0,1.0,1.0,7.0,39.0
307,WA,2021-01-13,6.0,0.0,12.0,1.0,9.0,1.0,0.0,1.0,35.0
134,WA,2021-01-14,1.0,0.0,15.0,0.0,7.0,1.0,4.0,1.0,33.0
135,WA,2021-01-15,0.0,0.0,10.0,1.0,12.0,1.0,1.0,1.0,32.0
136,WA,2021-01-16,4.0,0.0,11.0,0.0,12.0,1.0,0.0,9.0,43.0
462,WA,2021-01-17,1.0,0.0,15.0,1.0,7.0,1.0,1.0,1.0,29.0
137,WA,2021-01-18,5.0,0.0,8.0,1.0,1.0,1.0,1.0,5.0,26.0
