date,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,NE,NJ,NM,NV,NY,OH,OK,OR,PA,SC,TN,TX,UT,VA,WA,WI,WV
2020-08-02,1,36,12,56,99,6,1,1,321,71,6,4,63,15,13,7,41,5,25,1,20,11,15,17,1,20,4,11,3,22,18,50,16,2,28,22,31,297,2,16,9,11,1
2020-08-03,1,61,13,76,152,3,6,5,441,89,10,11,81,15,9,12,62,5,25,1,21,17,18,26,4,21,2,25,4,25,42,105,18,2,36,40,34,414,8,28,10,27,3
2020-08-04,1,59,11,65,144,5,4,2,379,95,7,7,69,20,11,13,47,5,28,4,24,20,20,19,2,15,10,28,6,30,35,72,27,4,38,37,33,414,3,22,13,7,5
2020-08-05,1,50,26,79,111,3,7,3,403,89,11,1,76,11,11,13,49,5,29,1,22,13,23,11,2,25,3,30,7,29,46,98,22,2,37,26,27,391,5,30,13,18,3
2020-08-06,2,53,16,67,111,6,4,1,335,83,9,6,95,25,9,12,44,3,35,1,27,12,26,18,3,20,6,23,5,23,53,85,22,6,38,35,37,387,3,45,15,16,3
2020-08-07,5,60,13,55,117,3,1,1,371,94,7,3,80,21,7,13,36,4,20,5,25,12,24,20,4,23,8,23,2,23,43,112,16,5,43,25,25,325,3,27,15,12,5
2020-08-08,1,39,13,52,108,6,2,1,285,75,6,5,62,23,4,16,32,5,15,0,14,19,23,13,1,16,9,27,2,27,28,77,14,1,31,24,16,241,3,15,14,17,1
2020-08-09,2,37,13,31,105,3,2,0,267,63,12,6,83,11,7,4,27,4,19,0,20,21,26,13,3,18,3,14,3,28,25,58,8,2,15,21,16,228,3,13,7,8,3
2020-08-10,2,39,20,71,158,3,9,5,380,79,10,10,92,32,7,10,48,4,32,1,38,14,18,17,2,24,10,30,5,36,54,120,24,5,37,34,30,358,3,34,16,16,1
2020-08-11,1,46,18,45,114,5,4,2,305,75,11,1,100,21,6,16,33,4,22,0,31,12,19,25,3,13,3,17,7,35,63,95,15,4,38,29,23,347,7,31,9,18,4
2020-08-12,1,38,10,70,113,7,8,1,355,69,6,4,95,21,13,20,42,3,26,1,24,16,30,18,5,22,4,19,5,38,38,119,17,6,24,35,30,284,7,37,12,16,2
2020-08-13,1,36,12,63,116,3,6,2,306,52,7,5,97,24,10,13,33,5,23,0,23,13,22,16,4,30,4,24,5,31,42,89,17,3,27,25,39,338,3,28,12,20,1
2020-08-14,1,38,11,48,123,7,4,3,293,72,12,5,96,16,8,15,44,5,40,0,47,15,16,23,2,14,6,10,4,36,40,99,25,7,32,37,23,278,5,28,13,11,4
2020-08-15,0,46,10,39,106,1,4,2,248,67,8,2,79,18,3,10,27,2,11,1,36,7,12,10,2,13,8,12,5,26,23,64,12,3,20,26,18,222,2,12,14,7,3
2020-08-16,5,23,10,28,68,3,2,2,231,67,8,3,75,13,4,13,31,2,19,1,28,12,19,13,4,10,4,18,1,36,9,50,14,6,20,18,13,177,2,19,9,15,1
2020-08-17,2,47,17,49,132,0,7,6,288,77,12,4,79,26,4,20,41,3,32,2,22,21,19,16,3,27,4,17,2,28,25,76,26,4,43,48,29,275,7,33,19,18,4
2020-08-18,2,35,18,36,113,6,5,7,257,64,5,5,101,12,7,10,38,2,28,1,30,7,29,9,2,18,6,25,6,25,54,114,18,4,33,31,23,248,6,25,15,14,1
2020-08-19,2,44,10,28,94,5,4,6,282,69,11,5,91,22,5,15,40,3,24,2,28,11,17,11,3,25,7,15,8,24,33,103,60,8,26,17,27,249,5,39,16,15,4
2020-08-20,1,31,16,39,93,4,8,2,272,59,7,4,97,28,5,13,24,4,31,2,27,21,22,17,1,28,14,22,4,23,36,102,17,3,37,21,29,220,4,24,18,10,2
2020-08-21,2,32,14,35,107,5,9,8,264,58,8,3,89,27,6,13,36,3,21,1,16,21,15,15,1,28,10,10,5,27,38,93,18,3,33,26,21,233,6,32,10,12,3
2020-08-22,2,29,16,21,84,3,2,4,194,49,10,2,95,21,8,8,16,5,23,0,29,13,23,15,2,23,7,16,3,14,32,52,11,3,18,20,16,173,3,18,5,11,1
2020-08-23,2,30,12,21,97,3,1,6,169,48,11,5,76,15,4,7,17,1,13,1,17,13,17,12,1,12,2,8,1,22,23,59,14,4,17,18,20,142,0,17,9,6,1
2020-08-24,1,36,15,42,99,7,9,8,201,59,11,6,90,28,8,16,23,5,21,0,19,14,31,14,1,21,8,13,4,12,44,97,33,3,35,22,39,212,3,25,15,17,4
2020-08-25,2,25,14,37,100,5,7,8,186,53,9,1,112,23,7,11,42,1,19,0,17,13,24,15,1,17,7,10,2,11,39,56,20,4,44,25,28,198,3,22,17,16,1
2020-08-26,1,24,17,54,92,3,9,7,235,75,12,8,103,19,11,10,29,2,23,0,25,9,27,9,2,24,9,17,3,15,41,82,33,5,36,23,22,195,6,26,14,11,6
2020-08-27,1,23,14,32,84,1,9,9,190,56,9,4,114,19,14,14,29,5,28,0,24,17,22,19,3,15,3,10,5,20,28,79,17,5,24,24,21,205,6,26,15,11,3
2020-08-28,0,27,15,22,66,5,8,7,195,45,16,8,119,27,11,16,22,2,30,0,21,16,33,13,1,25,5,16,3,15,26,81,33,5,24,24,26,178,2,29,12,15,4
2020-08-29,1,18,10,25,64,3,3,5,145,52,6,4,109,18,9,9,28,3,10,0,30,10,24,12,1,14,5,13,2,19,10,55,12,6,22,22,22,175,0,25,12,8,4
2020-08-30,2,27,20,13,72,3,2,5,125,34,3,3,81,20,13,6,19,2,11,0,19,15,22,10,2,9,2,7,4,18,8,55,16,2,23,13,22,129,0,16,8,5,3
2020-08-31,2,38,13,25,86,6,7,5,175,65,16,6,113,17,7,6,24,3,19,1,22,12,38,14,4,23,5,14,1,25,36,98,23,4,22,24,19,185,5,22,13,16,4
2020-09-01,0,26,19,23,86,4,1,9,164,53,9,4,125,19,9,9,25,3,30,0,27,9,28,12,2,21,8,22,3,27,31,76,26,6,36,26,27,250,3,33,15,15,4
2020-09-02,3,24,14,18,72,5,7,11,172,58,7,7,122,15,9,4,23,8,22,1,18,10,27,6,3,22,2,13,4,17,32,78,17,4,32,22,16,163,5,25,12,17,1
2020-09-03,0,30,13,18,74,4,2,10,161,51,11,3,120,18,4,11,20,5,21,1,19,21,26,9,3,20,15,16,4,14,27,81,13,2,21,15,21,174,3,26,8,12,0
2020-09-04,1,32,19,23,76,4,3,9,164,46,12,9,108,24,5,13,33,5,18,0,31,9,29,13,4,15,13,9,2,22,29,78,14,3,21,23,20,181,7,22,13,12,1
2020-09-05,1,18,14,15,62,4,11,1,117,35,7,5,100,14,4,3,20,3,15,1,21,12,29,10,3,11,1,11,4,17,14,41,20,3,8,14,12,159,1,13,9,15,8
2020-09-06,3,23,19,14,58,2,1,2,105,40,8,4,74,23,6,8,21,3,22,2,23,15,22,11,1,13,4,12,2,14,23,37,25,6,22,22,16,116,2,17,11,10,1
2020-09-07,1,21,8,21,74,3,4,5,97,47,4,1,82,21,5,7,22,0,14,1,12,8,15,9,2,12,8,26,5,20,22,44,18,4,9,10,23,184,4,25,10,6,2
2020-09-08,1,31,19,21,84,4,5,9,148,48,10,6,76,14,8,10,26,3,27,2,32,9,16,6,3,25,2,20,5,9,34,57,23,4,37,26,24,194,6,27,14,11,4
2020-09-09,5,26,21,15,64,11,8,8,141,47,11,6,80,15,5,13,29,6,15,1,15,12,20,9,7,21,10,23,3,12,28,73,20,5,47,15,26,147,3,24,12,18,3
2020-09-10,1,23,15,24,60,7,8,8,126,42,8,5,74,20,9,3,22,5,17,1,23,12,18,6,5,24,5,22,1,13,38,62,23,2,20,27,22,152,3,41,11,16,6
2020-09-11,1,13,18,28,58,8,6,6,163,43,8,6,86,25,6,21,27,9,18,1,22,13,40,8,6,24,5,13,3,15,36,61,17,3,33,19,21,188,2,42,11,14,5
2020-09-12,3,15,19,10,69,2,5,5,139,38,6,3,73,11,3,7,21,4,9,1,24,11,20,8,5,24,7,16,2,9,19,41,9,4,8,8,32,132,1,13,10,13,7
2020-09-13,2,21,11,12,41,6,1,2,86,35,13,2,72,17,8,9,22,5,14,0,20,16,14,9,3,18,5,7,3,9,16,41,8,4,16,12,20,93,1,18,7,16,4
2020-09-14,0,39,15,25,57,5,9,7,132,38,13,4,84,20,9,7,36,6,28,1,25,14,39,13,3,17,6,17,5,9,42,51,17,3,22,17,28,211,2,25,8,17,6
2020-09-15,1,27,14,20,76,4,7,5,136,51,10,7,66,17,5,8,38,4,20,4,20,12,38,7,7,23,11,17,6,13,45,54,17,5,34,10,16,172,1,29,13,14,5
2020-09-16,0,18,15,24,75,5,6,7,159,41,12,9,76,14,5,16,22,3,20,1,21,14,27,11,5,30,9,20,4,13,46,57,13,5,22,16,17,167,3,36,8,14,1
2020-09-17,4,19,20,17,64,6,5,5,128,43,9,4,75,20,8,6,17,10,15,2,30,16,15,17,2,20,5,15,2,21,49,66,10,3,22,26,22,154,2,41,13,23,5
2020-09-18,1,35,25,24,73,6,7,4,112,31,11,6,84,18,11,10,26,6,16,1,24,23,18,7,3,19,13,16,6,17,43,53,21,2,20,24,20,203,5,22,7,16,6
2020-09-19,2,25,25,16,55,2,1,7,112,42,8,4,65,19,9,5,20,4,12,2,18,12,25,2,4,11,7,9,4,13,25,28,20,3,14,14,23,152,2,11,10,16,4
2020-09-20,0,17,13,9,46,5,3,7,66,26,15,1,68,17,2,10,19,4,10,1,31,6,18,6,3,16,9,10,5,20,19,39,15,5,7,18,20,118,4,13,10,9,4
2020-09-21,1,31,14,24,80,6,4,7,112,50,14,7,82,21,6,14,27,4,16,0,22,15,19,8,5,22,10,10,3,17,51,49,17,5,26,18,28,166,10,22,16,25,4
2020-09-22,1,25,28,20,59,9,4,10,121,41,13,3,89,14,5,16,22,10,11,1,28,14,32,11,4,19,13,13,6,11,44,67,21,5,33,20,20,194,3,26,13,18,7
2020-09-23,1,26,27,13,71,3,2,5,116,42,20,6,75,19,12,6,19,10,12,0,20,21,23,10,6,18,7,12,2,13,44,67,16,9,21,19,25,155,3,21,10,22,3
2020-09-24,1,20,17,18,61,5,4,8,100,31,15,6,84,22,11,15,30,6,11,0,25,11,19,11,13,17,9,19,2,15,60,64,33,4,18,19,29,175,2,25,18,20,2
2020-09-25,1,43,16,22,58,7,10,11,103,36,16,6,100,25,13,13,18,6,18,3,28,15,31,15,14,20,11,19,1,18,62,64,25,9,33,15,37,175,2,25,10,22,2
2020-09-26,1,27,11,17,52,4,6,8,105,31,15,3,83,17,7,7,23,3,16,1,26,11,25,7,16,20,7,14,3,17,19,48,13,5,21,16,11,167,2,13,16,17,4
2020-09-27,2,10,18,14,43,6,3,12,103,30,10,4,90,16,2,13,23,3,9,1,31,19,19,10,9,13,4,12,3,15,19,41,18,5,12,7,14,130,5,19,4,23,7
2020-09-28,1,23,21,23,57,5,5,8,124,32,10,9,103,22,6,16,20,4,20,1,33,16,35,11,11,17,15,25,4,17,59,71,28,4,28,19,24,167,4,26,13,29,4
2020-09-29,1,18,19,19,70,7,18,9,138,32,11,5,100,13,8,11,21,5,15,2,36,17,31,9,20,12,18,27,5,12,45,69,32,5,35,15,31,178,1,16,9,24,7
2020-09-30,1,33,21,21,64,13,11,8,144,34,16,7,100,27,5,13,34,10,23,2,30,15,26,2,11,12,6,17,6,13,48,66,31,4,28,13,29,185,4,31,7,24,1
2020-10-01,2,34,22,40,61,9,6,10,127,34,26,5,140,27,10,14,24,14,13,0,35,18,37,11,24,15,15,16,4,25,74,70,42,5,25,15,31,220,7,28,18,36,6
2020-10-02,1,17,15,23,65,5,15,15,129,35,14,5,84,25,12,7,25,10,18,0,43,18,31,9,18,21,8,27,5,16,52,78,29,3,34,17,30,203,2,32,13,45,2
2020-10-03,3,18,20,21,66,8,5,6,114,24,15,7,76,24,5,13,23,9,12,0,34,19,24,6,21,22,14,28,4,11,27,59,23,4,17,12,21,173,6,16,8,22,3
2020-10-04,2,30,12,15,46,4,3,6,124,34,21,4,74,25,7,13,28,7,20,1,35,14,26,8,21,14,8,17,2,14,21,65,16,4,21,11,23,160,2,17,5,26,3
2020-10-05,1,41,28,26,63,8,12,5,131,50,11,7,88,31,10,23,21,8,31,0,53,21,35,16,19,31,15,45,4,20,57,104,39,4,32,16,34,259,6,25,14,40,3
2020-10-06,2,35,29,14,55,5,17,13,120,37,20,6,95,33,10,11,28,6,30,0,37,20,36,7,28,17,13,23,11,8,48,99,24,5,43,18,30,231,8,28,9,40,2
2020-10-07,2,31,25,28,51,10,12,8,143,33,24,5,103,26,13,17,25,10,29,0,60,22,39,10,19,33,15,27,7,15,57,85,35,4,38,12,33,225,14,29,11,36,4
2020-10-08,2,33,17,21,65,6,12,9,127,32,20,7,79,41,7,18,24,14,30,1,43,24,38,10,21,22,13,38,7,14,55,81,33,9,34,18,23,198,11,23,6,43,4
2020-10-09,3,38,28,32,79,7,11,6,152,33,14,6,112,36,8,15,21,6,30,1,33,11,42,6,16,20,18,35,6,25,47,85,43,3,36,31,40,237,13,30,9,44,3
2020-10-10,7,24,17,23,49,9,5,6,99,38,15,3,89,37,6,21,12,5,16,0,49,16,34,6,12,19,18,23,7,20,42,74,29,6,25,15,20,219,6,17,18,36,3
2020-10-11,1,28,27,17,43,11,12,9,109,31,19,6,86,38,4,9,17,9,19,1,34,19,33,11,16,23,11,28,3,8,37,70,20,7,34,13,23,222,9,16,10,29,2
2020-10-12,8,37,22,18,51,7,12,11,153,46,18,7,98,43,13,29,19,10,30,0,48,30,40,8,18,37,18,43,2,24,57,108,43,9,46,22,30,267,10,34,14,52,5
2020-10-13,4,23,21,24,73,14,9,3,122,54,22,8,116,45,5,15,18,9,24,1,44,26,35,8,22,35,17,46,8,19,53,106,29,2,42,8,32,273,14,46,13,47,3
2020-10-14,1,38,35,32,51,11,15,7,130,49,20,4,91,37,11,16,22,9,21,2,51,18,30,9,35,35,19,45,8,20,54,139,34,5,46,16,33,257,9,43,14,46,2
2020-10-15,2,32,29,36,60,8,20,2,129,51,25,7,106,42,13,16,19,6,19,1,70,21,41,10,45,31,13,54,8,15,53,122,41,8,45,22,32,273,9,40,9,62,4
2020-10-16,4,23,23,34,58,16,11,11,140,36,21,5,107,38,8,19,27,15,38,0,63,27,44,6,34,23,19,52,12,17,50,126,38,5,35,24,38,309,7,35,15,60,6
2020-10-17,1,24,31,29,57,19,21,9,100,21,14,5,101,25,11,10,22,6,16,0,57,20,42,6,22,30,15,37,10,34,34,76,38,6,29,10,26,268,6,19,16,44,5
2020-10-18,2,32,31,24,51,12,9,6,119,34,13,3,121,29,12,20,17,5,15,0,60,24,27,14,26,33,30,43,12,20,43,98,20,1,29,16,28,223,14,18,8,41,3
2020-10-19,3,47,30,28,73,23,19,8,127,45,27,11,139,56,10,29,31,6,25,0,86,29,43,14,39,21,37,50,13,19,76,143,36,6,53,13,47,355,13,43,17,48,6
2020-10-20,9,46,22,38,62,33,23,13,138,45,26,9,145,51,11,16,25,10,18,1,83,22,35,16,27,33,25,70,9,22,74,128,48,5,60,22,35,372,13,59,11,45,5
2020-10-21,5,36,42,39,63,14,13,1,119,36,32,8,154,64,13,26,23,9,25,1,73,23,40,14,22,28,26,73,12,40,48,161,41,6,66,18,38,311,7,62,9,68,5
2020-10-22,2,40,31,32,58,19,24,9,161,49,17,10,160,59,8,21,22,4,27,0,99,35,51,11,27,33,25,69,23,28,60,144,33,13,56,21,33,351,11,61,13,63,2
2020-10-23,5,41,36,41,57,21,38,9,153,41,34,7,181,51,14,22,18,13,24,2,103,30,36,20,26,38,24,75,16,30,70,131,44,10,56,16,38,330,20,66,13,51,7
2020-10-24,2,29,29,32,45,22,18,12,127,35,18,6,151,33,9,14,19,7,29,1,74,25,35,15,21,22,19,63,15,18,48,94,27,4,33,18,29,266,11,23,11,43,15
2020-10-25,8,28,31,28,57,32,11,8,139,34,25,10,134,31,9,18,16,14,28,2,76,25,29,14,27,21,14,53,18,18,27,102,24,4,37,13,38,268,7,12,7,40,4
2020-10-26,15,48,39,40,68,20,20,2,161,44,32,6,177,61,9,21,23,20,36,1,115,29,51,14,32,29,25,90,19,23,65,147,49,12,58,19,48,385,9,80,19,57,8
2020-10-27,1,51,19,39,67,24,31,8,163,37,24,7,181,58,13,23,19,14,34,1,116,39,51,13,27,19,30,75,9,19,62,153,43,9,50,27,43,361,13,77,7,52,4
2020-10-28,5,41,33,36,67,23,40,12,144,40,31,25,185,52,16,25,21,11,30,2,107,33,43,15,8,22,32,81,16,22,57,167,40,8,78,25,40,337,13,51,22,69,7
2020-10-29,5,36,26,49,81,29,11,10,172,39,42,13,178,72,15,18,19,9,35,8,113,35,48,13,23,29,30,76,20,17,70,183,56,9,82,18,32,360,20,58,25,62,11
2020-10-30,8,34,32,41,89,26,16,15,160,37,42,9,195,70,9,25,28,19,43,2,127,39,50,16,12,27,22,66,23,39,61,180,46,6,61,13,34,353,23,52,24,52,5
2020-10-31,2,36,25,35,51,22,23,7,125,40,24,5,175,51,11,24,18,19,27,1,103,39,49,10,20,24,27,72,14,27,46,128,40,6,52,15,29,274,12,24,15,52,12
2020-11-01,5,39,33,48,63,25,21,12,163,44,36,10,283,49,16,18,20,17,31,2,136,35,69,12,20,26,33,99,18,29,58,164,34,6,48,12,34,295,13,24,16,47,8
2020-11-02,12,48,23,43,87,41,24,12,179,32,52,14,235,73,20,27,19,21,37,2,142,52,55,12,26,24,40,102,24,32,82,208,66,10,80,14,39,388,17,75,30,77,4
2020-11-03,4,51,30,44,91,36,27,13,169,41,59,15,238,64,24,28,18,18,33,4,155,48,59,14,28,17,35,111,33,23,75,218,62,8,67,17,42,409,10,52,26,64,5
2020-11-04,12,50,32,42,94,53,42,14,174,30,62,10,225,58,22,31,20,24,42,5,157,40,49,11,28,33,34,109,24,28,68,236,51,9,78,16,46,372,12,87,28,82,8
2020-11-05,3,57,44,50,82,36,39,15,178,56,64,7,251,72,18,35,26,15,47,5,169,44,71,15,40,28,46,124,20,36,103,260,58,11,110,18,35,389,19,51,29,79,4
2020-11-06,11,49,34,43,99,37,37,15,187,45,61,8,277,79,22,30,19,33,41,7,183,66,71,9,42,29,38,120,30,23,98,301,61,11,129,16,59,393,22,46,25,85,7
2020-11-07,1,38,25,44,74,38,42,12,187,38,46,6,264,61,25,30,23,13,47,3,167,55,69,16,39,18,42,124,18,38,82,251,38,11,73,23,57,306,13,19,23,55,5
2020-11-08,9,38,34,47,76,43,22,15,172,47,45,11,258,75,13,26,19,19,43,2,166,56,68,17,35,34,34,104,23,29,84,243,40,7,66,17,42,310,14,18,19,78,8
2020-11-09,14,62,38,60,99,59,59,13,175,56,66,11,321,82,27,26,25,22,66,5,227,68,98,17,40,41,47,208,26,44,120,325,67,14,133,20,70,527,22,83,32,96,7
2020-11-10,11,63,46,78,106,59,56,9,224,63,86,14,344,94,32,39,26,25,57,6,214,83,81,15,56,39,47,174,23,34,126,351,66,17,122,15,67,464,24,75,30,83,7
2020-11-11,10,63,45,68,97,63,62,19,217,53,71,16,306,81,33,33,36,18,60,3,199,65,91,11,42,32,48,194,31,47,130,356,63,15,149,13,63,435,11,55,18,88,7
2020-11-12,9,37,35,74,105,49,53,14,223,56,74,13,319,109,33,29,39,28,68,4,265,76,67,13,46,39,48,183,22,28,109,380,71,12,144,21,66,471,26,76,28,109,12
2020-11-13,13,58,36,77,122,51,74,23,255,72,60,12,338,75,28,33,25,33,55,5,244,86,95,13,39,35,36,211,28,39,133,374,74,21,157,19,58,509,30,51,35,103,11
2020-11-14,4,55,45,80,112,50,58,11,200,39,59,9,291,81,30,22,31,28,53,9,214,96,64,17,33,28,36,178,26,45,102,313,56,15,102,14,69,446,11,25,27,67,8
2020-11-15,11,38,32,105,113,42,34,20,173,46,58,9,315,95,21,31,28,23,63,4,210,75,98,12,34,29,42,194,25,26,81,293,46,14,91,11,51,354,16,25,37,81,12
2020-11-16,6,69,38,109,173,54,75,20,237,63,62,9,352,116,23,27,23,49,87,7,255,93,92,23,41,37,53,245,22,48,153,452,72,20,162,15,90,576,21,69,38,85,6
2020-11-17,8,67,37,89,148,65,64,18,219,50,64,21,352,107,19,38,39,35,82,5,282,71,98,13,42,33,58,229,26,38,138,440,87,16,141,18,63,512,24,92,43,92,9
2020-11-18,5,63,43,98,162,63,72,18,236,66,64,15,328,117,28,41,47,24,80,5,258,82,95,19,32,26,47,198,30,43,153,449,67,12,201,25,62,520,31,61,37,90,17
2020-11-19,9,57,41,111,163,71,55,16,277,53,69,13,343,125,25,38,37,26,66,7,283,96,110,15,35,38,49,238,21,44,161,494,81,16,161,26,70,504,39,80,56,104,15
2020-11-20,18,59,38,98,161,55,76,20,233,55,56,12,299,119,28,40,40,45,76,6,273,89,76,16,29,39,37,237,39,46,182,571,73,17,156,21,83,592,23,59,52,64,15
2020-11-21,12,51,34,85,163,57,34,12,224,61,32,16,271,88,22,37,47,25,65,9,225,63,82,19,22,32,31,223,17,39,149,365,47,14,140,25,56,502,18,29,39,50,19
2020-11-22,8,55,30,70,159,50,46,14,203,64,36,14,273,116,20,33,34,41,66,4,203,72,68,10,23,36,31,220,20,48,122,336,57,17,146,16,64,414,13,35,34,58,7
2020-11-23,12,66,38,122,213,56,101,28,260,61,52,13,340,99,37,43,56,40,84,9,256,91,86,19,33,48,40,269,29,61,195,526,108,25,162,20,76,580,22,91,39,79,11
2020-11-24,14,67,33,113,201,63,73,26,262,58,72,11,306,107,43,32,49,30,70,8,259,90,104,21,31,29,39,228,27,49,183,511,68,32,203,12,74,630,28,67,43,72,14
2020-11-25,25,75,42,117,192,59,87,23,278,63,62,17,295,116,42,41,54,36,83,6,267,91,85,16,33,44,43,260,28,51,194,569,91,16,190,26,82,625,38,70,43,60,9
2020-11-26,7,65,41,110,192,42,59,25,225,53,41,8,240,88,32,36,46,30,78,5,180,61,67,21,39,34,43,179,22,57,182,378,44,25,129,16,73,468,14,36,36,59,10
2020-11-27,10,61,43,137,213,73,75,28,255,51,38,15,296,123,43,35,52,58,89,13,268,86,98,23,36,37,39,211,35,60,206,539,78,24,188,38,72,503,26,41,45,62,24
2020-11-28,8,55,26,122,225,66,44,28,272,68,39,9,283,98,36,47,50,28,81,9,255,65,77,16,20,37,33,242,24,39,197,407,63,24,149,12,76,487,16,42,54,59,15
2020-11-29,8,72,39,117,204,49,63,26,254,59,43,9,277,89,26,32,49,24,67,4,207,57,72,20,28,54,20,265,29,57,174,400,51,19,150,19,54,453,14,35,27,50,8
2020-11-30,18,83,42,158,282,58,88,30,320,78,47,34,315,149,52,36,69,45,69,6,266,85,84,20,32,55,37,307,23,54,248,602,70,29,220,17,102,701,25,63,38,66,19
2020-12-01,12,97,47,173,298,62,76,38,307,81,52,9,402,106,30,36,71,52,86,10,260,90,78,38,24,71,43,300,26,72,324,517,105,23,232,33,76,731,26,76,49,72,18
2020-12-02,11,88,35,167,275,62,89,39,275,68,51,16,334,132,39,39,69,70,98,11,254,74,87,19,28,56,30,328,30,61,271,552,68,28,240,27,88,559,12,57,55,72,15
2020-12-03,23,91,47,176,332,50,78,23,289,81,49,17,333,127,46,38,61,54,79,21,242,70,96,20,25,62,38,322,21,63,288,586,103,29,224,33,109,588,19,63,42,78,15
2020-12-04,8,88,44,180,297,54,78,38,283,84,42,14,310,139,36,39,81,60,99,11,276,89,93,21,20,56,29,295,31,68,283,637,79,31,229,34,87,569,17,47,37,69,15
2020-12-05,11,89,33,132,271,33,50,26,293,66,25,7,254,92,32,35,64,41,77,8,186,63,76,16,19,53,26,257,23,55,263,401,66,15,192,25,70,480,16,42,38,43,13
2020-12-06,12,70,40,143,297,37,51,38,280,76,23,8,238,87,25,31,64,34,73,16,181,60,69,18,22,61,29,262,28,65,213,396,44,20,148,17,71,448,9,36,39,43,19
2020-12-07,8,96,47,192,361,64,83,42,314,101,38,14,302,125,35,48,58,73,101,5,259,68,96,22,19,65,45,343,33,68,338,632,75,14,247,38,115,684,14,64,40,82,22
2020-12-08,3,112,38,155,416,47,107,47,321,92,51,13,304,120,28,48,77,61,100,18,234,69,107,25,22,66,32,321,32,82,295,509,76,24,248,37,88,621,20,79,52,49,18
2020-12-09,7,113,34,184,360,61,83,35,342,90,45,8,336,136,22,43,93,79,96,12,256,64,102,23,28,70,34,311,23,86,360,577,92,27,264,43,92,590,18,64,45,72,27
2020-12-10,9,118,45,204,368,65,90,40,345,99,54,12,322,152,34,38,85,60,100,14,206,65,82,19,22,80,28,336,19,49,337,563,80,33,210,37,94,565,17,56,53,59,29
2020-12-11,8,101,42,181,388,51,85,45,363,102,36,16,314,181,35,53,70,75,95,14,205,60,84,28,22,61,24,290,22,69,342,560,85,30,245,32,81,663,10,87,46,54,14
2020-12-12,7,90,42,178,394,42,54,40,315,102,22,12,252,90,19,35,64,57,79,8,177,62,79,19,23,45,16,261,9,87,289,447,61,15,184,28,84,564,17,46,45,45,17
2020-12-13,8,79,35,172,358,51,55,35,296,105,18,5,262,89,31,25,58,57,74,12,154,51,71,21,16,57,15,243,14,62,261,324,43,12,175,36,65,435,12,46,37,44,14
2020-12-14,4,125,61,219,506,48,84,49,384,121,41,20,287,140,27,41,76,66,82,9,192,56,94,29,19,76,24,379,21,67,354,596,71,24,229,48,98,735,22,98,61,61,14
2020-12-15,8,119,44,258,479,49,97,55,382,110,26,11,286,117,43,58,80,60,94,6,178,50,95,19,16,82,16,309,20,81,317,504,79,24,227,41,83,693,14,93,40,59,23
2020-12-16,9,130,48,180,487,54,106,48,374,114,34,15,268,131,46,40,61,64,80,7,166,49,81,25,22,71,20,275,15,65,338,543,88,29,212,32,90,637,19,60,40,68,19
2020-12-17,9,123,35,215,501,42,55,53,385,106,34,21,285,140,34,39,72,60,81,11,178,52,96,24,15,70,27,266,16,64,327,542,67,25,184,41,88,657,23,128,56,61,13
2020-12-18,8,104,47,167,511,39,120,38,346,102,16,14,254,121,31,36,68,70,78,12,146,46,70,15,21,62,19,281,20,59,384,519,78,22,229,51,84,762,20,118,60,61,21
2020-12-19,7,97,33,201,486,20,74,33,352,102,22,11,200,104,25,29,64,48,81,13,140,44,64,17,14,62,14,276,15,76,319,365,54,11,187,30,84,619,17,54,49,40,21
2020-12-20,5,100,49,204,470,23,69,41,327,105,22,2,212,88,30,27,63,62,78,8,134,35,82,20,19,54,17,311,11,69,275,327,48,19,161,42,57,537,18,45,49,41,21
2020-12-21,2,117,48,248,575,43,113,40,398,140,35,13,285,165,45,41,70,78,119,15,200,36,76,32,17,94,31,379,18,79,387,595,83,21,212,50,95,817,24,131,60,54,18
2020-12-22,11,113,49,231,523,36,94,54,367,110,37,13,240,132,39,44,99,67,86,9,175,54,84,24,21,72,26,323,23,60,404,483,88,30,220,36,85,799,27,99,48,44,19
2020-12-23,2,127,37,204,587,34,88,32,429,142,23,11,249,140,27,48,84,72,80,9,142,35,74,19,11,65,16,320,22,74,341,482,81,26,234,38,74,807,16,117,45,39,26
2020-12-24,0,114,46,195,501,34,109,35,402,98,28,7,190,132,28,35,58,77,89,18,128,31,70,19,17,71,17,311,14,50,345,442,79,22,164,42,67,706,22,112,43,36,18
2020-12-25,3,74,36,180,477,28,44,22,348,110,16,5,157,80,20,33,43,42,73,7,131,39,46,12,10,64,14,257,9,56,312,253,52,18,152,40,67,618,4,57,39,31,11
2020-12-26,11,97,41,184,464,35,57,30,413,114,26,7,194,104,21,42,73,58,67,11,115,34,68,18,14,74,19,284,13,70,328,317,75,16,164,45,80,745,19,52,48,42,26
2020-12-27,2,93,46,218,521,34,46,35,360,124,17,5,177,77,27,42,82,53,63,9,122,31,46,15,14,62,14,254,11,67,302,317,56,16,120,49,90,748,11,53,42,27,19
2020-12-28,6,147,53,233,592,28,78,34,463,152,32,13,216,104,32,46,103,83,88,21,149,38,69,40,23,86,17,347,16,107,474,560,109,23,193,49,99,926,19,89,46,42,22
